approx_value,iteration
19.8876875,1
51.00275785869973,2
108.0453373789397,3
178.56590473848306,4
256.62429686680764,5
363.8492729749464,6
471.8874545143561,7
593.704149481369,8
632.248649364778,9
749.655663387286,10
841.1420395110624,11
913.7893494484055,12
1027.237715790034,13
1154.0888573626087,14
1247.2274152924942,15
1348.2579243261762,16
1430.4651840291751,17
1459.8520483398886,18
1565.9376659598556,19
1630.413849184893,20
1727.0309506518279,21
1795.9377215931424,22
1888.2472784089819,23
1970.110717871307,24
2047.5982877052109,25
2121.957786447052,26
2200.8754830096614,27
2272.8914315161896,28
2323.725790391911,29
2378.383415722428,30
2415.5850502007634,31
2492.146081563097,32
2548.322489120882,33
2593.9323908791666,34
2649.991913642206,35
2698.1872548820565,36
2745.307134754349,37
2783.6541188557076,38
2821.18668834438,39
2845.24477361321,40
2874.433301145743,41
2922.8419943766958,42
2968.281941081752,43
3003.9320667420707,44
3034.446701748203,45
3049.3880555688665,46
3076.6913787122803,47
3103.7508258478642,48
3124.8405310269563,49
3136.110815979291,50
3146.22699111616,51
3158.8675289566218,52
3174.4521817026634,53
3202.0609996493818,54
3217.2279783425784,55
3234.023422427922,56
3248.9692402007427,57
3266.5127308690453,58
3287.90086130899,59
3301.3545667469807,60
3312.8696548667826,61
3322.263891681786,62
3333.10400210438,63
3344.550735328926,64
3355.1240320341585,65
3363.9974097261806,66
3371.776061254862,67
3380.6032217644733,68
3387.3697181424645,69
3397.556868143817,70
3408.9535083027267,71
3417.3800311276873,72
3421.589464934381,73
3427.916942408506,74
3436.2082199906663,75
3443.93293701771,76
3450.0678850419013,77
3453.793774611649,78
3456.1455989892947,79
3459.1888962901103,80
3464.8571838510943,81
3468.538392510994,82
3471.865697464815,83
3475.839767607412,84
3478.8242024696165,85
3480.805733772017,86
3482.9864951902446,87
3485.673206998864,88
3487.604499449073,89
3490.4488374058938,90
3493.531973300912,91
3495.5493454979837,92
3496.8435543390397,93
3498.918953297293,94
3500.230066413031,95
3501.7549958324034,96
3503.538576195676,97
3504.938036958847,98
3505.780308690448,99
3506.7004239844405,100
