coefficients,shift,node,intercept,state,iteration,time
"{""volume[1]"":0.0}","[[0.0,1]]",1,0.0,"{""volume[1]"":0.0}",0,0.0
"{""volume[1]"":-0.5}","[[0.0,2]]",1,20.0,"{""volume[1]"":30.0}",1,0.006440877914428711
"{""volume[1]"":-1.24975}","[[0.0,3]]",1,49.985,"{""volume[1]"":10.0}",1,0.006914854049682617
"{""volume[1]"":-0.624250125}","[[0.0,4]]",1,48.69501125000001,"{""volume[1]"":50.0}",1,0.007177829742431641
"{""volume[1]"":-1.3118129374375}","[[0.0,5]]",1,78.054406870625,"{""volume[1]"":20.0}",2,0.007924795150756836
"{""volume[1]"":-1.6552505622500313}","[[0.0,6]]",1,98.31883559625345,"{""volume[1]"":0.0}",2,0.008133888244628906
"{""volume[1]"":-1.1386105932813906}","[[0.0,7]]",1,97.00108742627032,"{""volume[1]"":30.0}",2,0.008319854736328125
"{""volume[1]"":-0.5687359913440546}","[[0.0,8]]",1,70.51412290974366,"{""volume[1]"":70.0}",2,0.00851297378540039
"{""volume[1]"":-0.8528196190204098}","[[0.0,9]]",1,100.05425474963351,"{""volume[1]"":50.0}",2,0.008708953857421875
"{""volume[1]"":-0.8519667994013894}","[[0.0,10]]",1,108.47386848889778,"{""volume[1]"":50.0}",3,0.009443998336791992
"{""volume[1]"":-0.9255574163009941}","[[0.0,11]]",1,119.85424629438901,"{""volume[1]"":30.0}",3,0.009636878967285156
"{""volume[1]"":-1.4623159294423465}","[[0.0,12]]",1,145.48807345924766,"{""volume[1]"":10.0}",3,0.009840011596679688
"{""volume[1]"":-1.1927427361987988}","[[0.0,13]]",1,150.20497433078816,"{""volume[1]"":50.0}",3,0.010035991668701172
"{""volume[1]"":-1.1915499934626}","[[0.0,14]]",1,160.05476935645737,"{""volume[1]"":30.0}",3,0.010221004486083984
"{""volume[1]"":-1.5951792217345688}","[[0.0,15]]",1,182.03933793506386,"{""volume[1]"":10.0}",3,0.010413885116577148
"{""volume[1]"":-1.3919712429909858}","[[0.0,16]]",1,186.92439057777034,"{""volume[1]"":50.0}",3,0.01059579849243164
