approx_value,iteration
7.462500000000002,1
22.989963277150803,2
36.25923883198493,3
66.30325905946518,4
105.67055287764816,5
120.9406260290622,6
123.89465344531776,7
130.90356797761913,8
132.87358890737306,9
133.9847702294807,10
134.91370995036692,11
135.29115728678732,12
140.1837505447063,13
146.80746210888424,14
148.75071186040208,15
150.58398236664985,16
150.69234058432522,17
152.14131714308343,18
153.519984067019,19
154.06832302512066,20
154.73445802937863,21
155.36941929332957,22
155.51859930842988,23
156.1603209174318,24
156.21556050538987,25
156.41923847290664,26
156.54610560919542,27
157.27642972771594,28
157.9061488732068,29
158.1109550468472,30
158.1762002815807,31
158.19016475815363,32
158.29229756432647,33
158.3104512954595,34
158.33526976236953,35
158.37096122457814,36
158.39302170442645,37
158.76043136897107,38
158.77106935325662,39
159.00280903347766,40
159.08097328781025,41
159.1104432310175,42
159.13927814229783,43
159.16658619508848,44
159.2170944190442,45
159.23965219896462,46
159.26347353337897,47
159.29211634759739,48
159.29859571440863,49
159.32862732351845,50
159.3392098046356,51
159.34265979598115,52
159.35573948884957,53
159.36694691933988,54
159.37010812606627,55
159.37512715316194,56
159.38459909875922,57
159.39717340082007,58
159.40237188299602,59
159.40933392707123,60
159.41038317037587,61
159.41361489262044,62
159.41466119889412,63
159.41636739616047,64
159.42445407921483,65
159.42843051835774,66
159.43505668980862,67
159.44589362036942,68
159.45125911551065,69
159.4596982665247,70
159.46521305580893,71
159.470482188589,72
159.47235270851525,73
159.47732467148307,74
159.4783652316434,75
159.4794911356433,76
159.48230631239701,77
159.48360749473537,78
159.48518093788056,79
159.48689790031335,80
159.49030333510586,81
159.49361446288003,82
159.49674347375077,83
159.50063346757713,84
159.50568924191214,85
159.50732134270405,86
159.51058201861875,87
159.51212836117085,88
159.5133153947949,89
159.51553881716015,90
159.5171115743362,91
159.5193011976474,92
159.51971362766753,93
159.52080619862502,94
159.5215095497542,95
159.52220650607512,96
159.5224334737145,97
159.52251335975205,98
159.5225610324962,99
159.52268421954736,100
