node,iteration,delta
1,1,19.9
1,2,7.87592330530282
1,3,12.59534430789926
1,4,13.806706515831657
1,5,13.562616394296612
1,6,13.422220950216001
1,7,12.859280611372213
1,8,13.592928373051222
1,9,12.79642721600267
1,10,11.559384924852878
1,11,12.983677465207649
1,12,12.063724501215916
1,13,12.39775984003927
1,14,12.409654369605448
1,15,12.454336115995716
1,16,12.648571251353644
1,17,14.918201357969238
1,18,15.330264518842455
1,19,17.556348052461345
1,20,15.60033857552662
1,21,15.671843808508413
1,22,15.719612745326287
1,23,15.723043202297447
1,24,15.747952093151298
1,25,16.12674194060108
1,26,16.02958090530504
1,27,16.034490987677486
1,28,16.072760281296382
1,29,16.12554321140155
1,30,16.277133880126485
1,31,16.519216657110093
1,32,16.447007941476386
1,33,16.630908838888416
1,34,16.58553041891571
1,35,16.731549744570543
1,36,17.319349849978863
1,37,16.69415867676298
1,38,16.835629365167506
1,39,16.70465959432545
1,40,16.710999586619295
1,41,16.713213400892442
1,42,16.727090496604376
1,43,16.728002320730525
1,44,16.745776793465723
1,45,16.73775486280917
1,46,16.73921777100759
1,47,16.739104782613765
1,48,16.739091809787624
1,49,16.739440819586292
1,50,16.748701784283213
1,51,16.758425481311917
1,52,16.74877020354205
1,53,16.780044969594826
1,54,16.766974911946278
1,55,16.772679807412715
1,56,16.77201071726867
1,57,16.77351367751163
1,58,16.773646758374383
1,59,16.774033914162544
1,60,16.7764409689309
1,61,16.77701174452025
1,62,16.787978151781857
1,63,16.8012005938304
1,64,16.78800317352804
1,65,16.788035233993696
1,66,16.804532127845107
1,67,16.78898452302471
1,68,16.788906887533983
1,69,16.79507616390015
1,70,16.788925309982744
1,71,16.789178226585392
1,72,16.788965981185243
1,73,16.78973206025958
1,74,16.78975581322075
1,75,16.78978987496791
1,76,16.78971736021424
1,77,16.789689123783063
1,78,16.790076256020313
1,79,16.790060696627762
1,80,16.79009652358792
1,81,16.79073062992535
1,82,16.7907265121315
1,83,16.790276958635815
1,84,16.79002266106059
1,85,16.790325345814097
1,86,16.790996519423373
1,87,16.79031865353926
1,88,16.79038722102655
1,89,16.790197602065035
1,90,16.790573594067837
1,91,16.790267643637264
1,92,16.790368232522354
1,93,16.790500908518283
1,94,16.790612794878513
1,95,16.79062673060713
1,96,16.790608202871255
1,97,16.7905663801248
1,98,16.790573361913403
1,99,16.790700311154467
1,100,16.79057053116344
