coefficients,shift,node,intercept,state,iteration,time
"{""volume[1]"":0.0}","[[0.0,1]]",1,0.0,"{""volume[1]"":0.0}",0,0.0
"{""volume[1]"":-1.0}","[[0.0,2]]",1,35.0,"{""volume[1]"":0.0}",1,0.0010001659393310547
"{""volume[1]"":-1.4995}","[[0.0,3]]",1,59.97500000000001,"{""volume[1]"":10.0}",1,0.0014390945434570312
"{""volume[1]"":-0.74900025}","[[0.0,4]]",1,57.42752,"{""volume[1]"":50.0}",1,0.0018770694732666016
"{""volume[1]"":-1.374125624875}","[[10.032857275803266,5],[9.975332110498407,6],[0.0,8]]",1,86.16004624250002,"{""volume[1]"":10.0}",2,0.002813100814819336
"{""volume[1]"":-1.0605013745000624}","[[9.975332110498407,6],[0.0,8]]",1,84.8193371201169,"{""volume[1]"":50.0}",2,0.0032720565795898438
"{""volume[1]"":-1.1863757496250624}","[[10.748168212615006,7],[0.0,8]]",1,89.36840447598348,"{""volume[1]"":30.0}",2,0.003741025924682617
"{""volume[1]"":-1.5297204365627812}","[[0.0,8]]",1,100.76377541897355,"{""volume[1]"":10.0}",2,0.0041921138763427734
"{""volume[1]"":-1.2640953580631091}","[[13.24553638847312,9],[10.40851970595329,12],[3.409422931147047,14],[0.0,17]]",1,108.24457268674236,"{""volume[1]"":50.0}",2,0.004691123962402344
"{""volume[1]"":-1.2938157946258904}","[[13.54274075410094,10],[10.40851970595329,12],[3.409422931147047,14],[0.0,17]]",1,109.73001235828553,"{""volume[1]"":39.9804122461436}",3,0.00590205192565918
"{""volume[1]"":-0.6462609894156323}","[[15.051245892342095,11],[10.40851970595329,12],[3.409422931147047,14],[0.0,17]]",1,72.43337184875917,"{""volume[1]"":69.9804122461436}",3,0.006406068801879883
"{""volume[1]"":-0.5}","[[10.40851970595329,12],[3.409422931147047,14],[0.0,17]]",1,60.398725829025096,"{""volume[1]"":99.9804122461436}",3,0.006684064865112305
"{""volume[1]"":-0.6462609894156323}","[[11.318580581082978,13],[3.409422931147047,14],[0.0,17]]",1,73.99891526230893,"{""volume[1]"":79.98041224614359}",3,0.007185220718383789
"{""volume[1]"":-0.9690683536287406}","[[3.409422931147047,14],[0.0,17]]",1,98.85159515131912,"{""volume[1]"":49.98041224614359}",3,0.007705211639404297
